COU_ID;COU_NAME
1; Atlantic Ocean                  
2; Australia                       
3; Bolivia                         
4; Boston                          
5; Brazil                          
6; Cameroon                        
7; Canada                          
8; Canary Islands                  
9; Colombia                        
10; Democratic Republic Congo       
11; India                           
12; Indonesia                       
13; Italy                           
14; Kazakastan                      
15; Malaysia                        
16; New Caledonia                   
17; New Guinea                      
18; New Mexico                      
19; off Ustica                      
20; Pakistan                        
21; Peshawar                        
22; Pest Hungary                    
23; Staines                         
24; Switzerland                     
25; Tabasco                         
26; Thiells                         
27; Ukraine                         
28; Uruguay                         
29; Uzbekistan                      
30; Zimbabwe                        
31;10 mile SE of Tell City          
32;10 miles SW of Las Vegas         
33;100 miles W of Galway Bay        
34;110 miles West of Ireland        
35;116 miles WSW of Annette Island  
36;18 NNW of Benton Harbor          
37;325 miles east of Wake Island    
38;570 miles northeast of Natal     
39;800 miles east of Newfoundland   
40;Aaland Island                    
41;Aargau                           
42;Afghanistan                      
43;Afghanstan                       
44;Africa                           
45;Aichi                            
46;Airzona                          
47;AK                               
48;Alabama                          
49;Alaksa                           
50;Alakska                          
51;Alaska                           
52;Albania                          
53;Alberta                          
54;Aleutian Islands                 
55;Algarve                          
56;Algeria                          
57;American Samoa                   
58;Amsterdam                        
59;Angola                           
60;Antarctica                       
61;Antarctica                       
62;Antarctica                       
63;Antarctica                       
64;Antarctica                       
65;Antarctica                       
66;Antarctica                       
67;Antarctica                       
68;Antarctica                       
69;Antarctica                       
70;Antarctica                       
71;Antarctica                       
72;Antarctica                       
73;Antarctica                       
74;Antarctica                       
75;Antarctica                       
76;Antarctica                       
77;Antarctica                       
78;Antarctica                       
79;Antarctica                       
80;Antarctica                       
81;Antarctica                       
82;Antarctica                       
83;Antarctica                       
84;Antarctica                       
85;Antarctica                       
86;Antarctica                       
87;Antarctica                       
88;Antarctica                       
89;Antarctica                       
90;Antarctica                       
91;Antarctica                       
92;Antarctica                       
93;Antarctica                       
94;Antarctica                       
95;Antarctica                       
96;Antarctica                       
97;Antarctica                       
98;Antarctica                       
99;Antarctica                       
100;Antarctica                       
101;Antarctica                       
102;Antarctica                       
103;Antarctica                       
104;Antarctica                       
105;Antarctica                       
106;Antarctica                       
107;Antarctica                       
108;Antarctica                       
109;Antarctica                       
110;Antarctica                       
111;Antarctica                       
112;Antarctica                       
113;Antarctica                       
114;Antarctica                       
115;Antarctica                       
116;Antarctica                       
117;Antarctica                       
118;Antarctica                       
119;Antarctica                       
120;Antarctica                       
121;Antarctica                       
122;Antarctica                       
123;Antarctica                       
124;Antarctica                       
125;Antarctica                       
126;Antarctica                       
127;Antarctica                       
128;Antarctica                       
129;Antarctica                       
130;Antarctica                       
131;Antarctica                       
132;Antarctica                       
133;Antarctica                       
134;Antarctica                       
135;Antarctica                       
136;Antarctica                       
137;Antarctica                       
138;Antarctica                       
139;Antarctica                       
140;Antarctica                       
141;Antarctica                       
142;Antarctica                       
143;Antarctica                       
144;Antarctica                       
145;Antarctica                       
146;Antarctica                       
147;Antarctica                       
148;Antarctica                       
149;Antarctica                       
150;Antarctica                       
151;Antarctica                       
152;Antarctica                       
153;Antarctica                       
154;Antarctica                       
155;Antarctica                       
156;Antarctica                       
157;Antarctica                       
158;Antarctica                       
159;Antarctica                       
160;Antarctica                       
161;Antarctica                       
162;Antarctica                       
163;Antarctica                       
164;Antarctica                       
165;Antarctica                       
166;Antarctica                       
167;Antarctica                       
168;Antarctica                       
169;Antarctica                       
170;Antarctica                       
171;Antarctica                       
172;Antigua                          
173;Arctic Ocean                     
174;Arctic Ocean                     
175;Arctic Ocean                     
176;Arctic Ocean                     
177;Arctic Ocean                     
178;Arctic Ocean                     
179;Arctic Ocean                     
180;Arctic Ocean                     
181;Arctic Ocean                     
182;Arctic Ocean                     
183;Arctic Ocean                     
184;Arctic Ocean                     
185;Arctic Ocean                     
186;Arctic Ocean                     
187;Arctic Ocean                     
188;Arctic Ocean                     
189;Aregntina                        
190;Argenina                         
191;Argentina                        
192;Argentina                        
193;Argentina                        
194;Argentina                        
195;Argentina                        
196;Argentina                        
197;Argentina                        
198;Argentina                        
199;Argentina                        
200;Argentina                        
201;Argentina                        
202;Argentina                        
203;Argentina                        
204;Argentina                        
205;Argentina                        
206;Argentina                        
207;Argentina                        
208;Argentina                        
209;Argentina                        
210;Argentina                        
211;Argentina                        
212;Argentina                        
213;Argentina                        
214;Argentina                        
215;Argentina                        
216;Argentina                        
217;Argentina                        
218;Argentina                        
219;Argentina                        
220;Argentina                        
221;Argentina                        
222;Argentina                        
223;Argentina                        
224;Argentina                        
225;Argentina                        
226;Argentina                        
227;Argentina                        
228;Argentina                        
229;Argentina                        
230;Argentina                        
231;Argentina                        
232;Argentina                        
233;Argentina                        
234;Argentina                        
235;Argentina                        
236;Argentina                        
237;Argentina                        
238;Argentina                        
239;Argyll                           
240;Arizona                          
241;Ariège                           
242;Arkansas                         
243;Armenia                          
244;Atlantic Ocean                   
245;Atlantic Ocean                   
246;Atlantic Ocean                   
247;Atlantic Ocean                   
248;Atlantic Ocean                   
249;Atlantic Ocean                   
250;Atlantic Ocean                   
251;Atlantic Ocean                   
252;Atlantic Ocean                   
253;Atlantic Ocean                   
254;Atlantic Ocean                   
255;Atlantic Ocean                   
256;Atlantic Ocean                   
257;Atlantic Ocean                   
258;Atlantic Ocean                   
259;Atlantic Ocean                   
260;Atlantic Ocean                   
261;Atlantic Ocean                   
262;Atlantic Ocean                   
263;Atlantic Ocean                   
264;Atlantic Ocean                   
265;Atlantic Ocean                   
266;Atlantic Ocean                   
267;Atlantic Ocean                   
268;Atlantic Ocean                   
269;Atlantic Ocean                   
270;Atlantic Ocean                   
271;Atlantic Ocean                   
272;Atlantic Ocean                   
273;Atlantic Ocean                   
274;Atlantic Ocean                   
275;Atlantic Ocean                   
276;Atlantic Ocean                   
277;Atlantic Ocean                   
278;Atlantic Ocean                   
279;Atlantic Ocean                   
280;Atlantic Ocean                   
281;Atlantic Ocean                   
282;Atlantic Ocean                   
283;Atlantic Ocean                   
