CRA_ID;OPE_ID;PLA_ID
1;2227;1448
2;567;792
3;279;1056
4;661;1443
5;545;217
6;920;1565
7;1350;241
8;1349;2147
9;847;2132
10;2203;702
11;1407;1112
12;40;13
13;707;1052
14;636;378
15;655;2130
16;714;1074
17;343;1784
18;899;1444
19;558;382
20;706;1053
21;1280;2493
22;656;817
23;842;1482
24;495;400
25;844;1500
26;521;1501
27;1483;1497
28;2134;1557
29;666;2340
30;1950;1128
31;1909;1516
32;64;866
33;1495;1483
34;1184;1507
35;1190;1481
36;494;1114
37;1230;1842
38;2112;1718
39;396;1946
40;1859;2341
41;1634;1393
42;509;1953
43;680;1948
44;1748;2162
45;1183;1508
46;587;2342
47;2192;1689
48;1248;2146
49;2228;1080
50;738;1104
51;414;240
52;908;1717
53;1732;1947
54;412;1727
55;1540;1935
56;2115;1079
57;1535;2284
58;596;2286
59;483;1391
60;2054;2276
61;3;1690
62;1492;1064
63;1160;1518
64;909;1060
65;762;973
66;1584;1419
67;107;1732
68;1577;2232
69;1871;867
70;108;1442
71;2120;389
72;1035;1719
73;1582;2230
74;1583;1509
75;24;1934
76;1696;2279
77;950;1002
78;953;1062
79;694;1502
80;1060;1512
81;893;2349
82;2233;388
83;1816;1515
84;2197;1533
85;1021;1066
86;41;2471
87;1593;1513
88;156;818
89;1281;1697
90;906;2159
91;619;1814
92;1642;2283
93;1522;375
94;728;2508
95;1122;2265
96;1170;1796
97;878;2282
98;1414;891
99;2093;2395
100;1148;1949
101;884;1392
102;2222;1067
103;1186;1519
104;705;1334
105;1181;1957
106;1015;2393
107;1521;1065
108;2062;1514
109;1018;2067
110;1203;1394
111;1266;980
112;520;1081
113;980;1039
114;1153;2171
115;741;1306
116;1161;1701
117;300;2169
118;1104;2167
119;1191;1702
120;1196;2062
121;1404;875
122;1591;1826
123;350;2264
124;346;1268
125;1068;1537
126;1659;685
127;1424;1150
128;1406;874
129;1361;766
130;2104;1177
131;2043;242
132;1420;948
133;1572;1831
134;1180;1071
135;760;1274
136;1484;763
137;1232;1271
138;530;255
139;1693;1102
140;1352;2468
141;1440;2096
142;590;944
143;358;959
144;1234;463
145;1690;2310
146;2044;1247
147;531;247
148;1692;1003
149;355;1219
150;1362;1435
151;1882;1704
152;692;2
153;1143;1252
154;860;2404
155;813;1248
156;810;239
157;640;971
158;1328;1878
159;1908;1147
160;122;1213
161;1863;965
162;1260;2168
163;833;253
164;30;1705
165;1537;2196
166;353;394
167;1872;699
168;2022;700
169;262;2181
170;1818;1240
171;285;1255
172;138;1262
173;979;2398
174;526;2431
175;1494;1898
176;1860;1100
177;1216;1282
178;336;1561
179;924;1073
180;584;2095
181;1793;1308
182;583;889
183;318;2197
184;1551;254
185;25;1791
186;275;1293
187;1805;1254
188;525;1265
189;511;696
190;1924;963
191;1179;1162
192;1912;966
193;263;968
194;761;1264
195;1834;693
196;759;1210
197;1729;2335
198;563;1280
199;478;1207
200;772;1706
201;1877;1171
202;807;252
203;1811;1736
204;1149;1146
205;2208;947
206;1496;1272
207;1943;261
208;699;1211
209;695;1302
210;850;961
211;1393;1409
212;1136;994
213;1224;979
214;669;951
215;1910;868
216;1398;466
217;1518;969
218;1459;82
219;1331;1425
220;296;1568
221;1335;692
222;1661;1001
223;1961;1793
224;220;1181
225;2152;1204
226;1267;981
227;1553;907
228;2085;1048
229;588;2403
230;574;1838
231;1448;2396
232;2028;773
233;712;1166
234;1958;2411
235;2040;1960
236;1550;1545
237;988;892
238;715;1076
239;394;245
240;1397;1411
241;679;4
242;2122;1316
243;1029;950
244;515;1564
245;505;1050
246;126;1203
247;1132;2402
248;740;1319
249;1019;960
250;12;1726
251;1047;1923
252;1419;1175
253;2247;1772
254;2077;1410
255;510;704
256;368;2201
257;1394;1134
258;1747;893
259;1399;1140
260;2121;1315
261;564;2444
262;975;2405
263;388;1963
264;163;248
265;748;327
266;1441;671
267;2023;2075
268;1040;10
269;1698;1270
270;1566;1848
271;841;1072
272;618;2240
273;1279;260
274;739;2408
275;2231;1311
276;416;2466
277;1011;1049
278;1240;257
279;697;2432
280;1699;1156
281;183;1927
282;471;9
283;1245;1401
284;445;1158
285;757;881
286;1592;1982
287;1312;1943
288;2165;2153
289;575;865
290;211;653
291;1229;2447
292;1311;1553
293;188;2437
294;1396;666
295;96;1224
296;1497;684
297;516;274
298;1891;301
299;523;705
300;649;2114
301;2199;826
302;1828;1164
303;996;1928
304;1466;331
305;1154;916
306;1401;366
307;2180;1000
308;1989;2339
309;994;392
310;1607;1742
311;766;1194
312;2041;479
313;873;1267
314;213;1325
315;305;999
316;1665;335
317;1621;338
318;60;1916
319;1082;924
320;654;219
321;22;1022
322;903;1044
323;1506;970
324;21;697
325;2012;2296
326;1757;1572
327;1558;2001
328;1169;2244
329;1718;2097
330;485;83
331;1516;925
332;811;842
333;125;742
334;548;1023
335;991;1907
336;787;341
337;2169;2009
338;660;554
339;230;322
340;2035;1045
341;328;2024
342;1507;658
343;1502;286
