OPE_ID;OPE_NAME
1;                                                 
2;46826/109                                        
3;A B Aerotransport                                
4;Aaxico Airlines                                  
5;AB Aerotransport                                 
6;Ababeel Aviaition                                
7;Abakan Airlines                                  
8;Aca-Ancargo                                      
9;Ace Air Cargo                                    
10;ACES Colombia                                    
11;Adam Air                                         
12;Adastra Airways                                  
13;ADC Airlines                                     
14;Aden Airways                                     
15;ADES Colombia                                    
16;Advance Airlines                                 
17;Adventure Airlines                               
18;AE Aviation                                      
19;AECA Cargo                                       
20;Aer Lingus                                       
21;Aer Turas                                        
22;Aeralpi                                          
23;Aereo el Venado                                  
24;Aerevias Centrales Air Service                   
25;Aerflot                                          
26;Aerial Transit Company                           
27;Aero Air                                         
28;Aero Asahi                                       
29;Aero Brasil                                      
30;Aero Cargo                                       
31;Aero Club Libya                                  
32;Aero Condor                                      
33;Aero Cozumel                                     
34;Aero Ejecutivos                                  
35;Aero Eslava                                      
36;Aero Ferinco Charter                             
37;Aero Fret Business                               
38;Aero Holland                                     
39;Aero Jet Express                                 
40;Aero Limited                                     
41;Aero Mayflower Transit Co                        
42;Aero O-Y                                         
43;Aero Peru                                        
44;Aero Service                                     
45;Aero Sudpacifico                                 
46;Aero Taxis Equatorianos                          
47;Aero Transportes                                 
48;Aero Transporti Italiani                         
49;Aero Tropical                                    
50;Aero-Tropics                                     
51;Aerocalifornia                                   
52;Aerocaribbean                                    
53;Aerocaribbean - Charter                          
54;Aerocaribe                                       
55;Aerochasqui                                      
56;Aerocom                                          
57;Aerocon                                          
58;Aerocondor                                       
59;Aerocondor Colombia                              
60;Aerocondor de Colombia                           
61;Aerocontroctors - Charter                        
62;Aerocosta Colombia                               
63;Aeroejecutivos Colombia                          
64;Aeroespresso                                     
65;Aeroextra                                        
66;Aeroflot                                         
67;Aeroflot / Aeroflot                              
68;Aeroflot / Kazakhstan                            
69;Aeroflot / Military - Russian Air Force          
70;Aeroflot / Soviet Air Force                      
71;Aeroflot /Military - Russian                     
72;Aeroflot Russian International Airlines          
73;Aeroflot Russian International Airways           
74;Aerogulf                                         
75;Aerolatino (Aerocaribe)                          
76;Aeroleo Taxi Aereo                               
77;Aerolift                                         
78;Aerolift Philippines                             
79;Aerolineas Abaroa                                
80;Aerolineas Argentinas                            
81;Aerolineas Argo                                  
82;Aerolineas Centrales de Colombia                 
83;Aerolineas Condor                                
84;Aerolineas Cuahonte                              
85;Aerolineas El Salvador                           
86;Aerolineas Flecha Austral                        
87;Aerolineas Flecha Austral - ALFA                 
88;Aerolineas La Gaviola                            
89;Aerolineas Litoral Argentina                     
90;Aerolineas Nacionales                            
91;Aerolineas TAO                                   
92;Aeromexico                                       
93;Aeromexico / Private                             
94;Aeromist-Kharkiv                                 
95;Aeronaves de Mexico                              
96;Aeronaves de Panama                              
97;Aeronaves del Peru                               
98;Aeronica                                         
99;Aeronor Chile                                    
100;Aeronorte                                        
101;Aeronorte Colombia                               
102;Aeropeca                                         
103;Aeroperlas                                       
104;Aeroperu                                         
105;Aeropesca Colombia                               
106;Aeropostale                                      
107;Aeropostale - La Tecoere Company                 
108;Aeroput                                          
109;Aeroservice International                        
110;Aeroservicios                                    
111;Aeroservicios Empresariales de Durango           
112;Aerosucre Colombia                               
113;Aerosweet Airlines (LVOV)                        
114;Aerotaca                                         
115;Aerotaxi Manaus                                  
116;Aerotechnia                                      
117;Aerotransportes Petroleros                       
118;Aerovanguardia                                   
119;Aerovias Brasil                                  
120;Aerovias Condor                                  
121;Aerovias Contreras                               
122;Aerovias Cuba International                      
123;Aerovias de Guatemala SA                         
124;Aerovias del Norte                               
125;Aerovias del Valle                               
126;Aerovias Guest                                   
127;Aerovias Halcon                                  
128;Aerovias Rojas                                   
129;Aerovias Urraca                                  
130;Aerovias Venezolanas SA (Venezuela)              
131;Afghan Army                                      
132;Africa One Congo                                 
133;African Air                                      
134;African Commuter Services                        
135;Afriqiyah Airways                                
136;Agape Flight Inc.                                
137;Agco Corp                                        
138;Agencia Interamericana de Aviada                 
139;Agni Air                                         
140;Agni Air                                         
141;AIDA                                             
142;Aigle Azur                                       
143;Air  Mali                                        
144;Air 70                                           
145;Air Affaires Gabon                               
146;Air Afrique                                      
147;Air Algerie                                      
148;Air Ambulance - Med-Trans Corp.                  
149;Air ambulance - Mercy Air Services               
150;Air Amercia                                      
151;Air America                                      
152;Air Angles Inc.                                  
153;Air Atlas                                        
154;Air Bagan                                        
155;Air Bissau                                       
156;Air Bleu                                         
157;Air Cameroon                                     
158;Air Canada                                       
159;Air Caraibes                                     
160;Air Cargo Carriers                               
161;Air Carriers                                     
162;Air Carriers Express Services Inc                
163;Air Charter                                      
164;Air China                                        
