PLA_TYPE;Date;Country;PLA_ID
A-7D Corsair                            ;10/20/1987;Indiana;1
AAC-1 Toucan                            ;11/01/1946;France;2
AEGK                                    ;06/14/1928;Germany;3
Aero Commander  520                     ;04/09/1956;Alaska;4
Aero Commander 500-B                    ;10/04/1970;Pennsylvania;5
Aero Commander 500A                     ;02/28/1978;California;6
Aero Commander 680                      ;09/04/1965;Alaska;7
Aero Commander 680E                     ;05/28/1971;Virginia;8
Aero Commander 680F                     ;11/21/1961;North Island;9
Aero Commander AC 520                   ;10/06/1959;Suriname;10
Aerocomp Comp Air 8                     ;04/20/2014;Finland;11
Aeroflot                                ;08/05/1955;Russia;12
Aeromarine Model 85 (flying boat)       ;03/22/1922;;13
Aerospatiale 330G Puma                  ;05/28/1982;Indonesia;14
Aerospatiale 330J Puma                  ;11/25/1990;Italy;15
Aerospatiale 350B1                      ;08/28/1991;Oregon;16
Aerospatiale Alenia ATR-42              ;11/12/1999;Kosovo;17
Aerospatiale Alenia ATR-42-312          ;10/15/1987;Italy;18
Aerospatiale AS 332L1 Super Puma        ;11/11/2011;Mexico;19
Aerospatiale AS 350B2 Ecureuil          ;11/21/2015;South Valley;20
Aerospatiale AS-350 B2 Ecureuil         ;12/07/2011;Nevada;21
Aerospatiale AS-350B                    ;09/16/1992;Hawaii;22
Aerospatiale AS350                      ;11/14/2009;Nevada;23
Aerospatiale AS350 Eurocopter  helicoper;08/10/2001;Arizona;24
Aerospatiale AS350BA                    ;09/20/2003;Arizona;25
Aerospatiale AS350BA Rotocraft          ;03/08/2007;Hawaii;26
Aerospatiale AS350D                     ;07/14/1994;Hawaii;27
Aerospatiale AS355-F1                   ;07/21/2000;Hawaii;28
Aerospatiale ATR-42-300                 ;08/21/1994;Morocco;29
Aerospatiale ATR-42-512                 ;07/30/1997;Italy;30
Aerospatiale BAe Concorde 101           ;07/25/2000;France;31
Aerospatiale Caravelle 10B3             ;03/15/1974;Iran;32
Aerospatiale Caravelle 10R              ;12/18/1977;Portugal;33
Aerospatiale Caravelle 3                ;04/01/1970;Morocco;34
Aerospatiale Caravelle 6N               ;09/11/1973;Yugoslavia;35
Aerospatiale Caravelle 6R               ;12/21/1980;Colombia;36
Aerospatiale Caravelle Super 10B        ;03/14/1972;United Arab Emirates;37
Aerospatiale Nord 262A-33               ;03/10/1979;California;38
Aerospatiale Puma                       ;12/16/1981;Brunei;39
Aerospatiale SA-330J                    ;12/21/1987;;40
Aerospatiale SA365N-1 Dauphin II        ;09/27/2008;Maryland;41
Aerospeciale AS-350D                    ;06/19/1984;New Jersey;42
Agusta A109A MK II                      ;10/10/1989;New Jersey;43
Airbus A-300-605R                       ;11/12/2001;Queens;44
Airbus A-310-204                        ;12/11/1998;Thailand;45
Airbus A-310-324                        ;06/10/2008;Sudan;46
Airbus A-310-324ET                      ;07/09/2006;Russia;47
Airbus A-320-216                        ;12/28/2014;;48
Airbus A-320-233                        ;07/17/2007;Brazil;49
Airbus A-330-243                        ;08/24/2001;Terceira;50
Airbus A-340                            ;08/02/2005;Canada;51
Airbus A.300B4-203                      ;09/21/1987;Egypt;52
Airbus A.320-214                        ;03/22/1998;Philippines;53
Airbus A.330-301                        ;05/25/2000;Philippines;54
Airbus A300                             ;06/27/1976;Uganda;55
Airbus A300-600R                        ;11/20/2000;Florida;56
Airbus A300-622R                        ;02/16/1998;Taiwan;57
Airbus A300-B4-200                      ;09/26/1997;Indonesia;58
Airbus A300B2-101                       ;12/24/1999;India / Kandahar;59
Airbus A300B2-1C                        ;12/26/1994;Algeria;60
Airbus A300B2-203                       ;07/03/1988;near Bandar Abbas;61
Airbus A300B4-203                       ;09/28/1992;Nepal;62
Airbus A300B4-203F                      ;04/13/2010;Mexico;63
Airbus A300B4-622R                      ;04/26/1994;Aichi;64
Airbus A300F-622R                       ;08/14/2013;Alabama;65
Airbus A310-304                         ;07/31/1992;Nepal;66
Airbus A310-324                         ;03/31/1995;Romania;67
Airbus A320-111                         ;06/26/1988;France;68
Airbus A320-211                         ;09/14/1993;Poland;69
Airbus A320-212                         ;08/23/2000;Bahrain;70
Airbus A320-214                         ;01/15/2009;New York;71
Airbus A320-231                         ;02/14/1990;India;72
Airbus A320-232                         ;11/27/2008;France;73
Airbus A321-111                         ;02/02/2016;Somalia;74
Airbus A321-231                         ;07/28/2010;Pakistan;75
Airbus A330-202                         ;05/12/2010;Libya;76
Airbus A330-203                         ;06/01/2009;570 miles northeast of Natal;77
Airbus A330-321                         ;06/30/1994;France;78
AirbusA310-304                          ;01/30/2000;Ivory Coast;79
Airship                                 ;03/04/1917;Belgium;80
Airspeed Ambassador AS-57               ;02/06/1958;Germany;81
Airspeed AS-65 Consul                   ;06/14/1952;East Sussex;82
Airspeed AS.57 Ambassador 2             ;07/03/1968;England;83
Airspeed Oxford                         ;11/20/1939;England;84
Antonov 10A                             ;02/26/1960; Ukraine;85
Antonov 12                              ;12/17/1998;Angola;86
Antonov 12B                             ;10/06/1996;Angola;87
Antonov 12BK                            ;07/24/1992;Macedonia;88
Antonov 12BP                            ;10/04/1988;Russia;89
Antonov 12MGA                           ;05/22/2001;Russia;90
Antonov 12V                             ;10/04/2005;Democratic Republic Cogo;91
Antonov 24                              ;03/16/2005;Russia;92
Antonov 24B                             ;01/17/2003;Gabon;93
Antonov 26                              ;02/21/2014;Tunisia;94
Antonov 26B                             ;03/16/1995;Russia;95
Antonov 26B-100                         ;01/09/2007;Iraq;96
