VOL_ID;VOL_NAME;VOL_CAT;VOL_TYPE
1;Acatenango                           ;Confirmed Eruption  ;Stratovolcano      
2;Acatenango                           ;Confirmed Eruption  ;Stratovolcano      
3;Acatenango                           ;Confirmed Eruption  ;Stratovolcano      
4;Adatarayama                          ;Confirmed Eruption  ;Stratovolcano      
5;Adatarayama                          ;Confirmed Eruption  ;Stratovolcano      
6;Adatarayama                          ;Confirmed Eruption  ;Stratovolcano      
7;Adatarayama                          ;Uncertain Eruption  ;Stratovolcano      
8;Adwa                                 ;Uncertain Eruption  ;Stratovolcano      
9;Adwa                                 ;Uncertain Eruption  ;Stratovolcano      
10;Agrigan                              ;Confirmed Eruption  ;Stratovolcano      
11;Agua                                 ;Discredited Eruption;Stratovolcano      
12;Agua de Pau                          ;Confirmed Eruption  ;Stratovolcano      
13;Agua de Pau                          ;Confirmed Eruption  ;Stratovolcano      
14;Agung                                ;Confirmed Eruption  ;Stratovolcano      
15;Agung                                ;Confirmed Eruption  ;Stratovolcano      
16;Agung                                ;Confirmed Eruption  ;Stratovolcano      
17;Agung                                ;Confirmed Eruption  ;Stratovolcano      
18;Agung                                ;Uncertain Eruption  ;Stratovolcano      
19;Ahyi                                 ;Confirmed Eruption  ;Submarine volcano  
20;Ahyi                                 ;Confirmed Eruption  ;Submarine volcano  
21;Ahyi                                 ;Uncertain Eruption  ;Submarine volcano  
22;Aira                                 ;Confirmed Eruption  ;Stratovolcano      
23;Aira                                 ;Confirmed Eruption  ;Stratovolcano      
24;Aira                                 ;Confirmed Eruption  ;Stratovolcano      
25;Aira                                 ;Confirmed Eruption  ;Stratovolcano      
26;Aira                                 ;Confirmed Eruption  ;Stratovolcano      
27;Aira                                 ;Confirmed Eruption  ;Stratovolcano      
28;Aira                                 ;Confirmed Eruption  ;Stratovolcano      
29;Aira                                 ;Confirmed Eruption  ;Stratovolcano      
30;Aira                                 ;Confirmed Eruption  ;Stratovolcano      
31;Aira                                 ;Confirmed Eruption  ;Stratovolcano      
32;Aira                                 ;Confirmed Eruption  ;Stratovolcano      
33;Aira                                 ;Confirmed Eruption  ;Stratovolcano      
34;Aira                                 ;Confirmed Eruption  ;Stratovolcano      
35;Aira                                 ;Confirmed Eruption  ;Stratovolcano      
36;Aira                                 ;Confirmed Eruption  ;Stratovolcano      
37;Aira                                 ;Confirmed Eruption  ;Stratovolcano      
38;Aira                                 ;Confirmed Eruption  ;Stratovolcano      
39;Aira                                 ;Confirmed Eruption  ;Stratovolcano      
40;Aira                                 ;Confirmed Eruption  ;Stratovolcano      
41;Aira                                 ;Confirmed Eruption  ;Stratovolcano      
42;Aira                                 ;Confirmed Eruption  ;Stratovolcano      
43;Aira                                 ;Confirmed Eruption  ;Stratovolcano      
44;Aira                                 ;Confirmed Eruption  ;Stratovolcano      
45;Aira                                 ;Confirmed Eruption  ;Stratovolcano      
46;Aira                                 ;Confirmed Eruption  ;Stratovolcano      
47;Aira                                 ;Confirmed Eruption  ;Stratovolcano      
